acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist,Genre
0.748,0.52,341667,0.0748,0.633,8,0.102,-24.477,1,0.0497,107.327,4.0,0.134,The Man I Love,Marcus Roberts,2
0.0726,0.739,386907,0.526,0.0,4,0.215,-7.384,0,0.101,143.948,4.0,0.374,Money Trees,Kendrick Lamar,0
0.0021,0.646,219754,0.892,0.00626,10,0.117,-5.015,1,0.0331,119.998,4.0,0.935,Wait & See,Holy Ghost!,0
0.789,0.664,145707,0.32,0.0,4,0.152,-7.356,1,0.0322,141.916,3.0,0.71,Perfect Harmony,Rags Cast,0
0.0198,0.517,245013,0.491,1.31e-06,11,0.0786,-13.742,0,0.0341,104.996,4.0,0.331,Midnight City,M83,0
0.281,0.718,214867,0.609,3.29e-05,0,0.234,-4.699,0,0.0429,122.948,4.0,0.47,Symphony,Clean Bandit,0
0.27,0.639,307910,0.869,0.0,11,0.0802,-4.024,1,0.147,169.801,4.0,0.766,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,1
0.0571,0.502,287827,0.632,0.054,4,0.226,-9.971,0,0.271,82.738,4.0,0.207,Are you... Can you... Were you? (Felt),Shabazz Palaces,1
0.0637,0.406,224848,0.638,0.0,9,0.107,-6.085,0,0.13,177.916,4.0,0.404,Save My Soul,JoJo,1
7.79e-05,0.351,141305,0.931,0.129,6,0.226,-5.746,0,0.0539,126.394,4.0,0.604,Oh,FIDLAR,1
0.0762,0.809,195853,0.628,0.000371,11,0.113,-5.021,0,0.0561,130.008,4.0,0.797,Sexy Bitch (feat. Akon) - Featuring Akon;explicit,David Guetta,0
0.316,0.519,182720,0.829,0.0,5,0.0759,-5.121,0,0.0901,123.659,4.0,0.629,Show You Love,Kato,0
0.0028,0.686,211000,0.915,7.16e-06,7,0.233,-4.447,1,0.0364,110.054,4.0,0.784,Tearin' up My Heart - Radio Edit,*NSYNC,0
0.00338,0.569,190155,0.896,0.958,1,0.0633,-3.114,1,0.0489,128.083,4.0,0.113,Raven,John Dahlbäck,1
0.013,0.631,187813,0.716,0.0,10,0.0756,-5.713,1,0.0432,88.541,4.0,0.637,Sleep Without You,Brett Young,0
0.0152,0.621,335156,0.813,0.0,6,0.691,-3.59,0,0.158,141.91,4.0,0.524,Taylor Gang - Bonus Track,Wiz Khalifa,1
0.0533,0.599,288877,0.667,0.0,7,0.134,-4.267,1,0.0367,80.984,4.0,0.811,I'm the One,DJ Khaled,0
0.674,0.462,226333,0.449,0.000632,0,0.0993,-9.271,0,0.0916,209.686,4.0,0.748,Danger and Dread,Brown Bird,1
0.35,0.926,199853,0.916,6.17e-06,10,0.0234,-2.221,0,0.0929,110.007,4.0,0.903,Hollaback Girl,Gwen Stefani,0
0.185,0.731,207496,0.812,0.154,5,0.131,-6.691,1,0.0608,91.96,4.0,0.861,Say Please,Teams vs. Star Slinger,0
0.622,0.413,168480,0.439,0.00562,10,0.0704,-8.537,1,0.031,97.942,4.0,0.336,Honest,Joseph,2
0.141,0.615,203067,0.403,0.0,0,0.0706,-17.264,1,0.102,80.171,4.0,0.707,Fog On the Tyne,Lindisfarne,0
0.0381,0.709,176589,0.797,0.0,0,0.143,-4.316,1,0.335,139.639,4.0,0.474,Fam,Saskilla,1
0.105,0.563,235853,0.487,0.0,2,0.0884,-7.775,1,0.0234,142.53,3.0,0.248,I'll Make Love To You,Boyz II Men,1
0.000204,0.614,211067,0.873,0.504,11,0.346,-6.353,1,0.0616,132.074,4.0,0.615,Burn It To The Ground,Nickelback,1
0.00256,0.468,201783,0.998,0.0,9,0.233,-0.994,0,0.15,140.003,4.0,0.064,No Absolution,Thy Art Is Murder,1
0.278,0.693,87705,0.578,1.52e-06,0,0.121,-11.129,1,0.18,78.158,4.0,0.851,"Icy, Creamy Ice Cream",Barney,0
0.0176,0.621,215050,0.674,0.0,6,0.242,-4.635,0,0.0323,92.994,4.0,0.255,Unfinished,Mandisa,1
0.0101,0.651,247360,0.642,0.000186,2,0.0902,-4.276,1,0.167,88.237,4.0,0.711,Anything New,Bibio,0
0.937,0.428,240093,0.3,0.658,0,0.168,-8.885,1,0.034,122.667,5.0,0.221,The Folks Who Live on the Hill,Joshua Redman,2
0.957,0.342,171613,0.159,0.114,9,0.101,-18.127,1,0.0477,91.963,4.0,0.329,Angels,The xx,2
0.114,0.586,176360,0.896,0.0,3,0.175,-4.572,1,0.11,94.954,4.0,0.353,Like Nobody's Around,Big Time Rush,1
0.282,0.735,186096,0.4,0.125,1,0.0811,-12.766,1,0.102,129.004,4.0,0.326,Please Stop Making Fake Versace,Father,0
0.0372,0.638,210160,0.897,0.00748,7,0.0691,-5.78,0,0.0504,133.948,4.0,0.915,Keep You,Wild Belle,0
0.132,0.658,243493,0.781,0.0,9,0.0877,-8.759,1,0.124,168.883,4.0,0.929,Das Lied Der Schluempfe,Vader Abraham,0
0.615,0.508,174067,0.247,0.0352,0,0.166,-15.432,0,0.0748,200.749,3.0,0.484,Tupelo - Part 1,Pop Staples,2
0.00188,0.661,311920,0.837,0.0,5,0.362,-3.78,0,0.114,102.831,4.0,0.615,The Devil Is A Lie,Rick Ross,1
0.00426,0.646,283067,0.629,0.277,8,0.122,-10.775,0,0.0427,109.013,4.0,0.176,Loud Places,Jamie xx,0
0.145,0.844,265400,0.688,0.00351,4,0.104,-8.594,0,0.291,96.671,4.0,0.747,Can I Kick It?,A Tribe Called Quest,0
0.0452,0.752,150053,0.783,0.0,9,0.194,-7.507,1,0.151,159.912,4.0,0.611,Gucci On The Rise,Gucci Mane,1
0.0235,0.847,246100,0.713,0.0,6,0.331,-3.89,0,0.241,132.063,4.0,0.338,VERSACE,Flap Jack,1
0.449,0.586,217120,0.658,0.368,10,0.109,-9.71,0,0.0457,144.933,4.0,0.276,Life Round Here,James Blake,1
0.0151,0.706,299799,0.581,0.0,9,0.368,-6.492,1,0.055,134.009,4.0,0.463,U Mad,Vic Mensa,1
0.164,0.824,181800,0.513,0.0,8,0.0487,-9.591,1,0.208,99.938,4.0,0.568,Stomp - Dirty,5kinAndBone5,0
0.239,0.839,636213,0.583,0.0,1,0.262,-5.941,1,0.268,87.99,4.0,0.557,Oldie,Odd Future,0
0.26,0.753,200213,0.9,0.000102,11,0.165,-1.866,0,0.0322,119.72,4.0,0.967,"When They Fight, They Fight",Generationals,0
0.905,0.42,257693,0.0802,0.857,7,0.135,-21.795,1,0.04,122.041,3.0,0.0513,Gary's Theme - Remastered,Bill Evans,2
0.0463,0.578,208139,0.825,0.0201,5,0.162,-4.659,0,0.0284,113.907,4.0,0.959,Origins,Tennis,0
0.105,0.528,216400,0.59,0.0,6,0.104,-6.682,1,0.0352,118.031,4.0,0.113,King Of The World,Natalie Grant,1
0.958,0.4,364627,0.144,0.878,10,0.119,-15.52,1,0.037,120.329,4.0,0.154,Soul in Twilight,John Moulder,2
0.0299,0.604,203310,0.841,0.00382,1,0.136,-5.145,1,0.0423,138.976,4.0,0.585,Celeste,Ezra Vine,1
0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,4.0,0.5,It Ain't Me (with Selena Gomez),Kygo,0
0.846,0.569,282320,0.117,0.852,5,0.0978,-22.741,1,0.0446,60.483,4.0,0.102,When Sunny Gets Blue,McCoy Tyner,2
0.0086,0.246,237947,0.843,0.241,4,0.137,-10.022,1,0.0396,80.047,4.0,0.681,Didn't You,Cloud Nothings,1
0.0832,0.492,232379,0.656,0.0,9,0.202,-7.361,1,0.0365,147.948,3.0,0.336,Great Are You Lord (Radio Mix),one sonic society,1
0.131,0.522,210816,0.86,0.0209,10,0.122,-3.773,0,0.145,128.019,4.0,0.263,Open,Yellow Claw,1
0.0132,0.807,330920,0.778,0.666,0,0.109,-5.485,1,0.0399,120.001,4.0,0.797,They Don't Know - Original Mix,Disciples,0
0.000304,0.316,245880,0.748,0.0139,2,0.608,-8.187,1,0.0413,79.337,4.0,0.239,It All Feels Right,Washed Out,1
0.397,0.596,224853,0.544,0.0,10,0.106,-7.294,1,0.0315,147.976,4.0,0.381,In Case You Didn't Know,Brett Young,0
0.00733,0.584,171067,0.716,0.0,0,0.0879,-4.737,1,0.0342,90.005,4.0,0.527,Sunday Morning,Parmalee,0
0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4.0,0.259,Sentimental Trash,Sweet Valley,0
0.0107,0.631,235025,0.893,0.00632,7,0.147,-5.123,1,0.0411,130.015,4.0,0.558,Concrete Angel (Radio Edit) (feat. Christina Novelli),Gareth Emery,1
0.0682,0.412,257846,0.83,0.00739,3,0.108,-4.976,0,0.0651,127.894,4.0,0.239,Last Chance,Kaskade,1
0.168,0.859,195613,0.756,4.65e-05,8,0.163,-3.36,0,0.0643,102.033,4.0,0.913,Chantaje,Shakira,0
0.379,0.335,255160,0.582,2.67e-05,5,0.0954,-5.09,1,0.0375,110.522,4.0,0.13,Even If,MercyMe,1
0.016,0.79,233813,0.616,0.13,0,0.136,-7.081,1,0.0388,111.038,4.0,0.373,Wait for a Minute,tUnE-yArDs,0
0.0112,0.465,232867,0.727,0.802,8,0.0964,-5.181,0,0.0353,118.149,4.0,0.47,Carl Sagan,Night Moves,1
0.0856,0.605,235000,0.884,0.000162,7,0.0501,-3.094,0,0.0611,125.989,4.0,0.364,Blackout - Madison Mars Radio Mix,Tritonal,1
0.403,0.683,142333,0.71,0.0,9,0.086,-7.445,1,0.114,128.181,4.0,0.93,It's My Party,Lesley Gore,0
0.19,0.63,348742,0.671,0.753,6,0.466,-7.727,0,0.0602,96.478,4.0,0.142,Don't Mean A Thing,Lapalux,1
0.304,0.654,222000,0.564,0.0,6,0.107,-7.186,1,0.235,86.948,4.0,0.458,When You're Mad,Ne-Yo,0
0.00325,0.686,280480,0.61,0.000123,5,0.0984,-7.952,0,0.0297,143.598,4.0,0.861,Akue We Non Houme - Jerk Fon,T. P. Orchestre Poly-Rythmo,0
0.000123,0.398,252005,0.955,0.458,7,0.299,-3.39,0,0.0698,100.03,4.0,0.134,The Call of Mighty,Crucify Me Gently,1
3.28e-05,0.401,194000,0.921,0.753,6,0.359,-3.287,0,0.0781,102.035,4.0,0.372,Bastard Son,God Of Nothing,1
0.455,0.627,262853,0.56,0.0,5,0.126,-5.378,1,0.0667,97.967,4.0,0.488,Can’t Live Without,Hollyn,0
0.503,0.41,256333,0.648,0.0,7,0.219,-4.469,1,0.0362,60.391,4.0,0.342,Don't You Cry For Me,Cobi,0
0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,Mask Off,Future,0
0.116,0.685,201893,0.783,0.0,11,0.194,-4.152,1,0.0276,90.008,4.0,0.532,Dirt On My Boots,Jon Pardi,0
0.00116,0.669,211042,0.765,0.0,8,0.312,-7.885,1,0.051,131.946,4.0,0.163,MDA,Problem,1
0.0129,0.401,592920,0.661,7.72e-05,5,0.791,-6.111,0,0.0462,107.998,4.0,0.173,Pyramids,Frank Ocean,1
0.0178,0.69,230792,0.841,0.79,4,0.137,-5.592,0,0.0868,130.052,4.0,0.533,Rock The House - Radio Edit,Afrojack,0
0.0214,0.465,295880,0.633,0.79,11,0.105,-9.493,0,0.0578,130.074,4.0,0.0451,Plague,Crystal Castles,1
0.626,0.682,224000,0.518,0.43,8,0.0552,-10.089,1,0.227,118.539,4.0,0.963,Sah,Al Massrieen,0
0.000103,0.39,192011,0.978,0.941,11,0.12,-4.209,1,0.289,100.221,4.0,0.102,Rope,Obscure of Acacia,1
0.935,0.428,285601,0.187,0.853,10,0.103,-21.001,1,0.0375,108.962,4.0,0.171,Romance / Hommage à Milhaud,Enrico Pieranunzi,2
0.00158,0.857,134062,0.831,0.0,2,0.154,-4.664,1,0.0995,106.059,4.0,0.251,I Ain't Trippin off Nothin,Ezale,0
0.189,0.67,276688,0.679,0.0,7,0.168,-5.618,1,0.118,172.069,4.0,0.794,Si Me Dices Que Si (feat. Nicky Jam),Cosculluela,0
0.00104,0.595,247175,0.794,0.00733,0,0.0693,-5.186,1,0.0345,131.619,4.0,0.685,Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones,0
0.0475,0.606,228147,0.503,0.0,7,0.116,-6.678,0,0.155,80.04,4.0,0.325,GOT IT GOOD,KAYTRANADA,0
0.00599,0.618,187760,0.96,0.0,4,0.058,-6.382,1,0.0327,131.988,4.0,0.949,Agadoo - original,Black Lace,0
0.000668,0.493,202496,0.956,0.0,1,0.416,-4.221,0,0.138,160.006,4.0,0.467,She Looks So Perfect,5 Seconds of Summer,1
0.941,0.349,176297,0.227,0.819,6,0.109,-12.298,1,0.031,100.449,4.0,0.15,Jackie Gets Out,Terence Blanchard,2
0.0119,0.473,196664,0.794,0.00218,9,0.418,-5.151,1,0.0462,139.313,4.0,0.293,Harlem Shake,Baauer,1
0.26,0.725,296693,0.487,1.09e-05,8,0.431,-5.959,0,0.0368,136.086,4.0,0.595,I Wanna Know,Joe,0
0.0584,0.967,242733,0.583,0.0,7,0.0519,-5.562,0,0.0789,117.0,4.0,0.965,SexyBack,Justin Timberlake,0
0.344,0.69,237040,0.737,0.0,1,0.243,-4.123,1,0.0363,115.02,4.0,0.821,I Blame Myself,Sky Ferreira,0
0.11,0.66,180480,0.867,0.0,6,0.0368,-4.285,0,0.116,93.033,4.0,0.376,Airplanes (feat. Hayley Williams of Paramore),B.o.B,0
0.24,0.683,213027,0.687,0.0,6,0.131,-5.833,0,0.0274,99.035,4.0,0.486,I Want It That Way,Backstreet Boys,0
0.0323,0.227,230373,0.635,0.125,7,0.117,-9.169,1,0.0754,170.179,4.0,0.36,High Ball Stepper,Jack White,1
0.116,0.685,204520,0.859,0.0,5,0.317,-2.595,0,0.0553,176.018,4.0,0.886,La Rompe Corazones,Daddy Yankee,1
0.00173,0.548,226172,0.811,3.56e-05,11,0.323,-3.985,1,0.0475,155.08,4.0,0.411,Fuck It All Up (feat. JVZEL),DOLF,1
